X1;X2;X3;X4
93.52;64.94;58.50;6.48
84.98;98.02;73.83;24.00
84.87;77.37;77.24;15.97
88.16;72.86;72.51;18.89
81.42;100.46;65.50;29.22
98.93;98.95;68.32;21.20
77.41;71.76;76.75;15.77
88.35;86.88;66.37;0.63
104.41;69.08;62.59;16.93
103.57;70.06;63.18;11.45
96.28;92.71;61.05;13.67
107.54;77.08;57.79;8.60
78.55;81.58;60.70;8.39
99.74;86.76;72.14;5.13
97.68;60.06;64.14;11.68
85.39;86.50;80.70;10.59
89.34;70.19;55.79;31.71
83.08;72.03;63.91;28.84
84.23;83.05;63.50;10.24
106.72;77.49;53.39;4.36
67.79;72.78;66.77;24.51
103.81;79.46;83.93;18.29
99.28;77.92;51.66;47.40
101.44;82.77;71.83;14.36
100.84;86.60;64.52;9.96
100.75;83.06;67.90;10.66
92.38;91.50;68.52;2.80
82.55;66.88;58.51;12.89
87.96;92.00;63.78;3.32
89.65;82.49;54.93;12.18
93.88;88.13;71.56;22.83
84.96;80.90;55.73;4.36
75.40;86.06;66.42;19.64
96.53;92.36;65.42;12.01
89.98;73.78;70.32;13.52
99.44;70.24;60.25;2.37
95.88;72.11;69.67;15.66
87.42;83.06;75.79;3.14
93.66;79.25;70.92;11.78
104.58;78.83;56.17;8.44
85.97;76.86;61.27;20.10
78.80;82.72;55.62;2.83
93.47;79.15;67.55;11.89
78.27;78.33;64.93;3.69
82.69;85.89;57.26;21.29
75.43;77.84;74.36;6.77
82.02;78.11;58.67;7.52
101.71;73.74;64.49;6.19
107.40;91.39;63.55;28.12
89.98;82.35;61.50;37.58
85.62;82.31;58.80;11.52
91.17;73.36;72.56;23.68
102.38;74.18;79.39;2.95
80.21;79.64;64.88;19.69
107.26;81.15;65.53;6.95
83.23;91.61;59.64;14.72
75.31;81.43;63.51;12.49
97.34;72.64;58.96;15.18
86.07;97.56;59.18;10.38
95.70;80.58;59.65;3.43
89.30;79.38;66.11;13.68
102.08;89.13;74.00;14.76
92.37;64.05;63.05;6.49
89.67;77.76;61.26;6.67
98.22;90.60;49.93;12.02
94.37;78.58;61.37;14.09
100.39;83.90;60.23;3.77
81.53;80.73;71.42;9.93
91.50;63.56;56.97;24.29
89.49;96.03;77.84;11.93
86.94;85.76;63.24;3.01
93.97;93.05;54.95;5.18
72.17;86.61;54.67;8.28
100.37;83.98;57.95;53.90
73.30;68.76;72.47;8.21
68.16;81.76;57.61;6.24
87.99;74.95;69.15;17.11
88.06;71.94;63.98;16.45
83.10;61.09;77.89;7.82
97.49;86.21;65.74;2.06
83.64;79.53;76.02;2.36
91.81;80.30;67.91;9.85
89.79;78.08;69.77;6.68
82.91;81.45;96.71;13.81
102.93;84.50;65.26;37.92
83.56;79.45;58.30;22.34
98.50;75.60;64.59;31.33
99.21;75.95;77.70;9.00
96.67;76.88;84.79;4.49
85.40;75.63;72.85;4.52
90.30;86.21;66.69;15.55
96.59;75.41;69.99;16.73
92.09;81.42;71.96;8.57
73.72;60.49;63.56;17.56
86.05;98.54;59.27;14.84
85.37;76.46;46.18;29.15
104.74;80.68;60.69;4.31
82.42;80.06;63.57;10.72
95.89;79.64;56.52;24.52
94.22;70.88;61.13;19.06
88.27;85.91;77.17;17.65
107.82;73.94;53.78;5.30
