i,x,y
1,64.000000,10.000000
2,1000.000000,17.000000
3,1000.000000,12.000000
4,1500.000000,7.000000
5,2000.000000,22.000000
6,2000.000000,18.000000
7,2000.000000,24.000000
8,2000.000000,25.000000
9,2000.000000,31.000000
10,3000.000000,44.000000
11,3000.000000,38.000000
12,4000.000000,22.000000
13,4000.000000,38.000000
14,4000.000000,35.000000
15,4000.000000,24.000000
16,4000.000000,25.000000
17,4000.000000,30.000000
18,4000.000000,37.000000
19,4000.000000,29.000000
20,4000.000000,12.000000
21,5000.000000,20.000000
22,5000.000000,120.000000
23,6000.000000,21.000000
24,6000.000000,198.000000
25,6300.000000,30.000000
26,8000.000000,64.000000
27,8000.000000,45.000000
28,8000.000000,32.000000
29,8000.000000,51.000000
30,8000.000000,50.000000
31,8000.000000,66.000000
32,8000.000000,14.000000
33,8000.000000,72.000000
34,8000.000000,36.000000
35,8000.000000,67.000000
36,8000.000000,105.000000
37,8000.000000,60.000000
38,10480.000000,32.000000
39,12000.000000,72.000000
40,12000.000000,49.000000
41,16000.000000,214.000000
42,16000.000000,132.000000
43,16000.000000,52.000000
44,16000.000000,144.000000
45,16000.000000,100.000000
46,16000.000000,259.000000
47,16000.000000,212.000000
48,16000.000000,54.000000
49,16000.000000,93.000000
50,16000.000000,45.000000
51,20970.000000,208.000000
52,24000.000000,237.000000
53,32000.000000,141.000000
54,32000.000000,367.000000
55,32000.000000,134.000000
56,32000.000000,277.000000
57,32000.000000,510.000000
58,32000.000000,307.000000
59,32000.000000,114.000000
60,64000.000000,915.000000
